Abdon,Abdonie
Abel,Ablu
Abercjusz,Abercjuszu
Abraham,Abrahamie
Absalon,Absalonie
Achacjusz,Achacjuszu
Achacy,Achacy
Achilles,Achillesie
Ada,Ado
Adalbert,Adalbercie
Adam,Admie
Adamina,Adamino
Adaukt,Adaukcie
Addar,Addarze
Adela,Adelo
Adelajda,Adelajdo
Adelina,Adelino
Ado,Ado
Adolf,Adolfie
Adolfa,Adolfo
Adolfina,Adolfino
Adria,Adrio
Adrian,Adrianie
Adriana,Adriano
Adrianna,Adrianno
Afanazy,Anafazy
Afrodyta,Afrodyto
Aga,Ago
Agapit,Agapicie
Agata,Agato
Agaton,Agatonie
Agatonik,Agatoniku
Agenor,Agenorze
Ageusz,Ageuszu
Agnieszka,Agnieszko
Agrypina,Agrypino
Aida,Aido
Aisza,Aiszo
Alan,Alanie
Alban,Albanie
Albaniusz,Albaniuszu
Albert,Albercie
Alberta,Alberto
Albertyna,Albertyno
Albin,Albinie
Albina,Albino
Albrecht,Albrechcie
Aldona,Aldono
Aleksander,Aleksandrze
Aleksandra,Aleksandro
Aleksy,Aleksy
Alf,Alfie
Alfons,Alfonsie
Alfonsyna,Alfonsyno
Alfred,Alfredzie
Alfreda,Alfredo
Ali,Ali
Alicja,Alicjo
Alina,Alino
Alma,Almo
Alojza,Alojzo
Alojzy,Alojzy
Alpinian,Alpininie
Amadea,Amadeo
Amadeusz,Amadeuszu
Amalia,Amalio
Amata,Amato
Ambroży,Ambroży
Amedeusz,Amedeuszu
Amelia,Amelio
Amiceta,Amiceto
Amin,Aminie
Amon,Amonie
Amos,Amosie
Ananiasz,Amaniaszu'';l
Anastazja,Anastazjo
Anastazy,Anastazy
Anatol,Anatolu
Anatolia,Anatolino
Andonik,Andoniku
Andromeda,Andromedo
Andron,Andronie
Andrzej,Andrzeju
Aneta,Aneto
Angel,Angelu
Angela,Angelo
Angelika,Angeliko
Angelina,Angelino
Angelus,Angelusie
Anicet,Anicety
Aniceta,Aniceto
Aniela,Anielo
Anita,Anito
Anna,Anno
Antoni,Antoni
Antonin,Antoninie
Antonina,Antonino
Antym,Antymie
Anzelm,Anzelmie
Apolinary,Apolinary
Apollo,Apollo
Apolonia,Apolino
Apoloniusz,Apoloniuszu
Areta,Areto
Ariadna,Ariadno
Ariel,Arielu
Ariela,Arielo
Arkadiusz,Arkadiuszu
Arkady,Arkady
Arleta,Arleto
Arletta,Arletto
Arnold,Arnoldzie
Arnolf,Arnolfie
Aron,Aronie
Arseniusz,Arseniuszu
Artemon,Artemonie
Artur,Arturze
Artus,Artusie
Arystarch,Arystarchu
Aspazja,Aspazjo
Asteria,Asterio
Asteriusz,Asteriuszu
Atanazja,Atanazjo
Atanazy,Atanazy
August,Auguście
Augusta,Augusto
Augustyn,Augustynie
Augustyna,Augustyno
Auksencjusz,Auksencjuszu
Aurela,Aurelo
Aureli,Aureli
Aurelia,Aurelio
Aurelian,Aurelianie
Aureliusz,Aureliuszu
Aurora,Auroro
Axel,Axelu
Balbin,Balbinie
Balbina,Balbino
Balcer,Balcerzu
Baltazar,Baltazarze
Barabasz,Barabaszu
Barbara,Barbaro
Barnaba,Barnabo
Bartłomiej,Bartłomieju
Bartolomea,Bartolomeo
Bartosz,Bartoszu
Bazyli,Bazyli
Bazylid,Bazylid
Bazylis,Bazylisie
Bazylissa,Bazyliasso
